REF_DATE,GEO,DGUID,Age at time of death,Sex,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2010-09-18,"Canada, place of occurrence",2021A000011124,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths,Number,223,units,0,v1161320324,1.2.1.1,205,,,,0
2010-09-18,"Canada, place of occurrence",2021A000011124,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths,Number,223,units,0,v1161320327,1.3.1.1,760,,,,0
2010-09-18,"Canada, place of occurrence",2021A000011124,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths,Number,223,units,0,v1161320330,1.4.1.1,1980,,,,0
2010-09-18,"Canada, place of occurrence",2021A000011124,"Age at time of death, 85 years and over",Both sexes,Number of deaths,Number,223,units,0,v1161320333,1.5.1.1,1495,,,,0
2010-09-25,"Canada, place of occurrence",2021A000011124,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths,Number,223,units,0,v1161320324,1.2.1.1,210,,,,0
2010-09-25,"Canada, place of occurrence",2021A000011124,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths,Number,223,units,0,v1161320327,1.3.1.1,795,,,,0
2010-09-25,"Canada, place of occurrence",2021A000011124,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths,Number,223,units,0,v1161320330,1.4.1.1,2075,,,,0
2010-09-25,"Canada, place of occurrence",2021A000011124,"Age at time of death, 85 years and over",Both sexes,Number of deaths,Number,223,units,0,v1161320333,1.5.1.1,1540,,,,0
2010-10-02,"Canada, place of occurrence",2021A000011124,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths,Number,223,units,0,v1161320324,1.2.1.1,230,,,,0
2010-10-02,"Canada, place of occurrence",2021A000011124,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths,Number,223,units,0,v1161320327,1.3.1.1,730,,,,0
2010-10-02,"Canada, place of occurrence",2021A000011124,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths,Number,223,units,0,v1161320330,1.4.1.1,1995,,,,0
2010-10-02,"Canada, place of occurrence",2021A000011124,"Age at time of death, 85 years and over",Both sexes,Number of deaths,Number,223,units,0,v1161320333,1.5.1.1,1515,,,,0
2010-10-09,"Canada, place of occurrence",2021A000011124,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths,Number,223,units,0,v1161320324,1.2.1.1,265,,,,0
2010-10-09,"Canada, place of occurrence",2021A000011124,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths,Number,223,units,0,v1161320327,1.3.1.1,825,,,,0
