REF_DATE,GEO,DGUID,Age at time of death,Sex,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2011-08-27,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4400,,,,0
2011-09-03,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4315,,,,0
2011-09-10,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4290,,,,0
2011-09-17,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4240,,,,0
2011-09-24,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4510,,,,0
2011-10-01,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4475,,,,0
2011-10-08,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4580,,,,0
2011-10-15,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4540,,,,0
2011-10-22,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4670,,,,0
2011-10-29,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4550,,,,0
2011-11-05,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4675,,,,0
2011-11-12,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4575,,,,0
2011-11-19,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4665,,,,0
2011-11-26,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4705,,,,0
2011-12-03,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4705,,,,0
2011-12-10,"Canada, place of occurrence",2021A000011124,"Age at time of death, all ages",Both sexes,Number of deaths,Number,223,units,0,v1161320321,1.1.1.1,4660,,,,0
